"All Brands","Všichni výrobci"
"All brands page","Stránka všech výrobců"
"Image max width","Maximální šířka obrázku"
"Image max height","Maximální výška obrázku"
"Product detail","Detail produktu"
"Brand page","Stránka výrobce"
"Brands","Výrobci"
"Show images","Zobrazit obrázky"
"Top brands block","Blok oblíbených výrobců"
"Footer brand list","Seznam značek v patičce"
"Enabled","Aktivní"
"Brand","Značka"
"Add top link","Přidat odkaz do horní navigace"
"Link order","Pořadí odkazu"
"Manage Brands","Správa výrobců"
"Add Brand","Přidat výrobce"
"Yes","Ano"
"No","Ne"
"Change top status","Změnit oblíbenost"
"Is top","Oblíbené"
"Brand was successfully saved.","výrobce uložena."
"Please select Brand(s).","Vyberte výrobce."
"Total of %d record(s) were successfully deleted.","Smazáno záznamů: %d."
"To completely delete a manufacturer go into manage attributes section and remove the attribute value from '%s'.","K úplnému odstranění výrobce přejděte do správy atributů a odstraňte hodnotu z atributu '%s'."
"Total of %d record(s) were successfully updated.","Upraveno značek: %d."
"Edit Brand '%s'","Upravit výrobce '%s'"
"Add Brand","Přidat výrobce"
"Manufacturer","Výrobce"
"Brand Image","Obrázek výrobce"
"Is Top","Oblíbené"
"Brand Information","Informace o výrobci"
"Content for","Obsah pro"
"Top Brands","Oblíbení výrobci"
"Manufacturer attribute code","Kód atributu výrobce"
"Licence key is not valid.","Licenční klíč není platný."
