" in rows: "," v riadkoch:"
"-- Please Select --","-- Prosím vyberte --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptér musí byť inštanciou Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Typ adaptéra nesmie byť prázdny reťazec"
"Can not determine attribute filter type","Nie je možne určiť atribút typ filtra"
"Can not find required columns: ","Nie je možné nájsť povinné stĺpce:"
"Can not get autoincrement value","Nie je možne získať automaticky sa zvyšujúcu hodnotou"
"Check Data","Skontrolovať dáta"
"Column names have duplicates","Názvy stĺpcov sú duplicitné"
"Column names is empty or is not an array","Názvy stĺpcov sú prázdne alebo nie sú v rozsahu"
"Column names: ""%s"" are invalid","Názvy stĺpcov: ""%s"" sú neplatné"
"Continue","Pokračovať"
"Data is invalid or file is not uploaded","Chybne údaje alebo súbor nebol nahraný"
"Destination directory is not writable","Cieľový adresár nie je prístupný na zápis"
"Destination file is not writable","Cieľový súbor nie je prístupný na zápis"
"Destination file path must be a string","Cesta k súboru musí byť reťazec"
"Entity Attributes","Vlastnosti objektu"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adaptér musí byť typu Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Neznáma entita(objekt)"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Typ modelu, entity musí byť typu Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Typ modelu, entity musí byť typu Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Chyba v štruktúre údajov: správanie je pomiešané"
"Error in data structure: entity codes are mixed","Chyba v štruktúre údajov: kódy entít sú pomiešane"
"Export","Export"
"Export FAQ","Export Často kladené otázky"
"FAQ","Často kladené otázky"
"File does not contain data. Please upload another one","Súbor neobsahuje údaje. Prosím nahrajte ďalší"
"File format is unknown","Neznámy formát súboru"
"File is partially valid, but import is not possible","Súbor je čiastočne platný, ale import nie je možný"
"File is totally invalid. Please fix errors and re-upload file","Súbor obsahuje chyby. Prosím odstráňte chyby a skúste nahrať súbor znovu"
"File is valid! To start import process press ""Import"" button","Súbor je v poriadku.  Pre spustenie importu stlačte tlačidlo ""Import"""
"File is valid, but import is not possible","Súbor je v poriadku, ale import nie je možný"
"Header column names already set","Názvy stĺpcov už sú nastavené"
"Import","Import"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export (Často kladené otázky)"
"Import FAQ","Import (Často kladené otázky)"
"Import successfully done.","Import bol úspešne dokončený."
"Import/Export","Import/Export"
"In/Out","Vstup/Výstup"
"Input entity code is not equal to entity adapter code","Vstupný kód entity nezodpovedá typu kódu adaptéra entity"
"Invalid entity","Chybná entity"
"Invalid file format","Chybný formát súboru"
"Invalid parameters","Chybné parametre"
"Invalid seek position","Chybná pozícia vyhľadávania"
"Invalid value for '%s'","Chybná hodnota pre '%s'"
"No filter data provided","Žiadny filter pre údaje"
"No source specified","Zdroj nebol vybraný"
"No valid data sent","Odoslané neplatné údaje"
"No writer specified","Nešpecifikovaný zápis"
"Node does not has model token tag","Uzol nemá ""model token tag"""
"Not implemented yet","Zatiaľ neimplementované"
"Please fix errors and re-upload file","Prosím opravte chyby a nahrajte súbor znova"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Prosím opravte chyby a nahrajte súbor znova alebo kliknite na tlačidlo ""Import"" a riadky s chybou budú preskočené"
"Some other FAQ","Niektoré ďalšie často kladené otázky"
"Source file moving failed","Presun zdrojového súboru sa nepodaril"
"Source file path must be a string","Cesta k zdrojovému súboru musí byť reťazec"
"Source is not set","Zdroj nie je nastavený"
"Status","Stav"
"System busy","Systém je zaneprázdnený"
"There are no product types available for export","Žiadne typu produktov s možnosťou exportu"
"Total size of uploadable files must not exceed %s","Veľkosť nahraného súboru nesmie presiahnuť %s"
"Uploaded file has no extension","Nahrávaný súbor nemá príponu"
"Validation Results","Výsledok overenia"
