"An error occurred while clearing the external full page cache.","Nastala chyba počas čistenia externej celostránkovej cache."
"Cookie Lifetime (seconds)","Životnosť cookie v sekundách"
"Enable External Cache","Zapnúť externú cache"
"External Cache Control","Ovládanie externej cache"
"External Full Page Cache Settings","Natavenie externej celostránkovej cache"
"External full page cache.","Externá celostránková cache."
"Failed to load external cache control","Chyba pri načítaní ovládania externej cache"
"Flush External Page Cache","Vyprázdniť externú cache stránok"
"If empty, default value will be used.","Ak bude prázdne, použije sa predvolená hodnota"
"The external full page cache has been cleaned.","Externá celostránková cache bola vyčistená."
"Zend Full Page Cache","Zend celostránková cache"
