" for more information or "," pre viac informácií alebo "
"# of Items (and above)","Počet položiek (a viac)"
"# of Items vs. Destination","Počet položiek vs. miesto doručenia"
"Allow Shipping to Multiple Addresses","Povoliť doručenie na viac adries"
"An error occurred while import table rates.",""
"Calculate Handling Fee","Vypočítať manipulačný poplatok"
"Carrier:","Prepravca:"
"City","Mesto"
"Close Window","Zavrieť okno"
"Condition","Podmienka"
"Country","Krajina"
"Date","Dátum"
"Delivered on:","Doručené na:"
"Delivered to:","Doručené pre:"
"Description","Popis"
"Displayed Error Message","Zobrazené chybové hlásenia"
"Enabled","Povolené"
"Error:","Chyba:"
"Export","Export"
"Fixed","Pevný"
"Flat Rate","Paušálna sadzba"
"Free Shipping","Doručenie zdarma"
"Google Sitemap Section","Sekcia Google Sitemap"
"Handling Fee","Manipulačný poplatok"
"Import","Import"
"Include Virtual Products in Price Calculation","Zahrnúť virtuálne produkty do výpočtu ceny"
"Info:","Info:"
"Invalid Table Rate code for type %s: %s","Neplatná tabuľka cien pre typ %s: %s"
"Invalid Table Rate code type: %s","Neplatná tabuľka cien pre: %s"
"Invalid Table Rates File Format","Chybný formát súboru tabuľky poplatkov"
"Local Time","Miestny čas"
"Location","Umiestnenie"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximálne množstvo povolené pre doručenie na viac adries"
"Method Name","Názov metódy"
"Minimum Order Amount","Minimálne objednané množstvo"
"N/A","Nedefinované"
"None","Žiadne"
"Options","Možnosti"
"Order Subtotal (and above)","Medzisúčet objednávky (a vyššie)"
"Origin","Pôvod"
"Per Order","Na objednávku"
"Per Package","Na zásielku"
"Percent","Percent"
"Price","Cena"
"Price vs. Destination","Cena vs. Miesto doručenia"
"Region/State","Krajina/Štát"
"Service Type:","Typ služby:"
"Ship to Applicable Countries","Doručiť do akceptovaných krajín"
"Ship to Specific Countries","Doručiť do vybratých krajín"
"Shipment #","Zásielka č."
"Shipment Tracking Popup","Sledovanie zásielky Popup"
"Shipped or billed on:","Doručené alebo fakturované na:"
"Shipping Methods","Spôsoby doručenia"
"Shipping Methods Section","Sekcia - Spôsoby doručenia"
"Shipping Settings","Nastavenie doručenia"
"Shipping Settings Section","Sekcia - Nastavenie doručenia"
"Show Method if Not Applicable","Ukázať možnosť, aj keď nie je použiteľná"
"Signed by:","Podpísaný od:"
"Sort Order","Poradie objednávok"
"Status:","Stav:"
"Store Pickup","Odber"
"Street Address",""
"Street Address Line 2",""
"Table Rates","Tabuľka sadzieb"
"The shipping module is not available for selected delivery country.","Spôsob doručovania nie je dostupný pre zvolenú krajinu."
"The shipping module is not available.","Modul prepravy nie je dostupný."
"There is no tracking available for this shipment.","Túto zásielku nie je možné sledovať."
"There is no tracking available.","Sledovanie zásielky nie je dostupné."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Tento spôsob dopravy momentálne nie je k dispozícii. Ak chcete použiť práve tento spôsob, prosím, kontaktujte nás."
"This shipping method is not available, please specify ZIP-code","Tento spôsob dopravy nie je dostupný, uveďte prosím PSČ"
"Title","Nadpis"
"Track:","Sledovanie zásielky:"
"Tracking Information","Informácie o sledovaní"
"Tracking Number:","Sledovacie číslo:"
"Tracking information is currently not available. Please ","Informácie o monitorovaní nie sú momentálne dostupné. Prosím "
"Tracking information is currently unavailable.","Informácie o monitorovaní nie sú momentálne dostupné. Prosím"
"Type","Typ"
"Weight (and above)","Hmotnosť (a vyššie)"
"Weight vs. Destination","Hmotnosť vs. Miesto doručenia"
"Weight:","Hmotnosť:"
"ZIP/Postal Code","PSČ"
"contact us","Kontaktujte nás"
"email us at ","Napíšte nám na "
"#~ ""Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%""#~ ""s"").""","#~ ""Duplicitný riadok #%s (Krajina ""%s"", Kraj/Štát ""%s"", PSČ ""%s"" a hodnota ""%""#~ ""s"")"""
"Invalid %s ""%s"" in the Row #%s.","Neplatný %s ""%s"" v riadku %s"
"Invalid Country ""%s"" in the Row #%s.","Neplatná krajina ""%s"" v riadku %s"
"Invalid Region/State ""%s"" in the Row #%s.","Neplatný Kraj/Štát ""%s"" v riadku %s"
"Invalid Shipping Price ""%s"" in the Row #%s.","Chybná cena prepravy ""%s"" na riadku %s."
