"Enable LightBox","Povolit LightBox"
"Maximum size of big image","Maximální velikost velkého obrázku"
"Maximum size of base image","Maximální velikost hlavního obrázku"
"Maximum size of thumbnails","Maximální velikost náhledu"
"Effects","Efekty"
"Fade-in duration","Doba trvání vykreslení"
"Fade-out duration","Doba trvání ztmavení"
"Image swap duration","Doba trvání přepnutí obrázku"
"Display","Zobrazení"
"Background opacity","Průhlednost pozadí"
"Background color","Barva pozadí"
"Imagebox opacity","Průhlednost rámečku obrázku"
"Imagebox color","Barva rámečku obrázku"
"Toolbar opacity","Průhlednost panelu"
"Toolbar color","Barva panelu"
"Toolbar text color","Barva textu panelu"
"Toolbar text font","Typ písma panelu"
"Toolbar text size","Velikost písma panelu"
"Padding size","Velikost odsazení"
"Outer border size","Velikost vnějšího okraje"
"Outer border color","Barva vnějšího okraje"
"Size in pixels (e.g.: 800x600)","Velikost (v pixelech např.800x600)"
"Size in pixels (e.g.: 256x256)","Velikost (v pixelech např.256x256)"
"Size in pixels (e.g.: 60x60)","Velikost (v pixelech např.60x60)"
"Value between 0.0 and 1.0","Hodnota mezi 0.0 a 1.0"
"HTML color format (e.g.: #000000)","Barva ve formátu HTML (např. #000000)"
"HTML color format (e.g.: #909090)","Barva ve formátu HTML (např. #909090)"
"Text size in pixels (e.g.: 12)","Velikost textu (v pixelech např. 12)"
"Size in pixels (e.g.: 10)","Velikost (v pixelech např. 10)"
"Size in pixels (e.g.: 1)","Velikost (v pixelech např. 1)"
"Font name (e.g.: Verdana)","Název písma (např. Verdana)"
"Value in seconds (e.g.: 1.5)","Hodnota (v sekundách např. 1.5)"
"Photo %d of %d","Foto %d z %d"
"Wrap images","Obalit obrázky"
"Image resize duration","Doba trvání změny velikosti obrázku"
"Image box opacity","Průhlednost rámečku obrázku"
"Image box color","Barva rámečku obrázku"
