"etc/system.xml",""
"Method","Metoda"
"Authorization or Deposit.","Autorizovat nebo uhradit."
"Automatic handling of orders","Automatické zpracování objednávek"
"If enabled, then invoice is automatically created","Pokud je tato možnost povolena, je automaticky při objednávce vytvořena a odeslána faktura"
"Merchant Number","Číslo obchodníka"
"Merchant Number is provided by GPWebPay.","Číslo obchodníka poskytuje GPWebPay."
"Merchant Private Certificate","Privátní certifikát obchodníka"
"E.g. nostress_private.pem","Např. nostress_private.pem"
"GPWebPay Public Certificate","Veřejný certifikát GPWebPay"
"E.g. gpwebpay_public.pem","Např. gpwebpay_public.pem"
"Merchant Private Certificate Password","Heslo k privátnímu certifikátu obchodníka"
"Secret Folder for storing certificates","Tajný adresář pro ukládání certifikátů"
"E.g. bla123","Např. bla123"
"GPWebPay New Order URL","GPWebPay URL pro nové objednávky"
"Sandbox mode","Sandbox mód (pro testování)"
"See GPWebPay agreement","Naleznete ve Vaší smlouvě"
"Visible on frontend when customer selects this payment method.","Viditelná ve Front-end, když zákazník zvolí tuto platební metodu."
"Temporary shutdown","Dočasná odstávka"
"Date is in MM/DD/YYYY format","Datum je ve formátu MM/DD/RRRR"

"etc/config.xml",""
"Nostress_Gpwebpay::Not completed (Requested)","Neukončena"
"Nostress_Gpwebpay::Not completed (Pending)","Neukončena"
"Nostress_Gpwebpay::Not completed (Created)","Neukončena"
"Nostress_Gpwebpay::Authorized","Autorizována"
"Nostress_Gpwebpay::Reversed","Reverzována"
"Nostress_Gpwebpay::Not authorized","Neautorizována"
"Nostress_Gpwebpay::Payed","Uhrazena"
"Nostress_Gpwebpay::Processed","Zpracována"
"Nostress_Gpwebpay::Closed","Uzavřena"
"Nostress_Gpwebpay::Deleted","Vymazána"
"Nostress_Gpwebpay::Credited (Opened)","Kreditována"
"Nostress_Gpwebpay::Credited (Closed)","Kreditována"
"Nostress_Gpwebpay::Declined","Zamítnuta"

"Model/Abstract.php",""
"Nostress_Gpwebpay::Initial transaction creation","Úvodní vytvoření transakce"
"Nostress_Gpwebpay::Please, check your certificates and GPWebpay settings.","Prosím zkontrolujte certifikáty a nastavení GPWebPay"
"Nostress_Gpwebpay::Bad parameters.","Nesprávné parametry."
"Nostress_Gpwebpay::SOAP error: %s","Chyba SOAP: %s"
"Nostress_Gpwebpay::File with private certificate could not been found.","Soubor s privátním certifikátem nebyl nalezen."
"Nostress_Gpwebpay::Password for the private certificate is wrong.","Heslo pro privátní certifikát nesouhlasí."
"Nostress_Gpwebpay::Unknown error occured.","Nastala neznámá chyba."
"Nostress_Gpwebpay::order id","číslo objednávky"
"Nostress_Gpwebpay::merchant number","číslo obchodníka"
"Nostress_Gpwebpay::amount","částka"
"Nostress_Gpwebpay::currency","měna"
"Nostress_Gpwebpay::deposit flag","metoda transakce"
"Nostress_Gpwebpay::merordernum","merordernum"
"Nostress_Gpwebpay::credit number","číslo kreditu"
"Nostress_Gpwebpay::operation","operace"
"Nostress_Gpwebpay::batch","batch"
"Nostress_Gpwebpay::order","objednávka"
"Nostress_Gpwebpay::url","url"
"Nostress_Gpwebpay::md","md"
"Nostress_Gpwebpay::description","popis"
"Nostress_Gpwebpay::digest","podpis"
"Nostress_Gpwebpay::Cardholder not authenticated in 3D","Neúspěšné ověření držitele karty."
"Nostress_Gpwebpay::Authenticated","Držitel karty ověřen"
"Nostress_Gpwebpay::Issuer or Cardholder not anticipating in 3D","Vydavatel karty nebo karta není zapojena do 3D."
"Nostress_Gpwebpay::Issuer not participating or Cardholder not enrolled","Vydavatel karty není zapojen do 3D nebo karta nebyla aktivována."
"Nostress_Gpwebpay::Technical problem during Cardholder authentication","Technický problém při ověření držitele karty"
"Nostress_Gpwebpay::Acquirer technical problem. Contact the merchant","Technický problém v systému zúčtující banky. Kontaktujte obchodníka."
"Nostress_Gpwebpay::Unsupported card product","Použit nepodporovaný karetní produkt"
"Nostress_Gpwebpay::Unsuccessful authorization - blocked card","Neúspěšná autorizace - karta blokována"
"Nostress_Gpwebpay::Authorization declined","Autorizace zamítnuta"
"Nostress_Gpwebpay::Unsuccessful authorization - card problem","Neúspěšná autorizace - problém karty"
"Nostress_Gpwebpay::Unsuccessful authorization - technical problem in authorization proccess","Neúspěšná autorizace - technický problém v autorizačním centru"
"Nostress_Gpwebpay::Unsuccessful authorization - Account problem","Neúspěšná autorizace - problém účtu"
"Nostress_Gpwebpay::No error occured","Nenastala žádná chyba"
"Nostress_Gpwebpay::Field %s is too long","Pole %s je příliš dlouhé"
"Nostress_Gpwebpay::Field %s is too short","Pole %s je příliš krátké"
"Nostress_Gpwebpay::Incorrect content of field %s","Neplatný obsah pole %s"
"Nostress_Gpwebpay::Field %s is null","Pole %s je prázdné"
"Nostress_Gpwebpay::Missing required field %s","Chybí povinné pole %s"
"Nostress_Gpwebpay::Field not exists","Pole neexistuje"
"Nostress_Gpwebpay::Unknown merchant","Neznámý obchodník"
"Nostress_Gpwebpay::Duplicite order number","Duplikátní číslo objednávky"
"Nostress_Gpwebpay::Object with given %s not found","Objekt s daným %s nenalezen"
"Nostress_Gpwebpay::Amount to deposit exceeds approved amount","Částka k úhradě překročila autorizovanou částku"
"Nostress_Gpwebpay::Total sum of credited amounts exceeded deposited amount","Součet kreditovaných částek překročil uhrazenou částku"
"Nostress_Gpwebpay::Object %s not in valid state for operation","Objekt %s není ve stavu odpovídajícím této operaci"
"Nostress_Gpwebpay::Operation not allowed for user","Uživatel není oprávněn k porvedení operace"
"Nostress_Gpwebpay::Technical problem in connection to authorization center","Technický problém při spojení s autorizačním centrem"
"Nostress_Gpwebpay::Incorrect order type","Chybný typ objednávky"
"Nostress_Gpwebpay::Declined in 3D. Reason: %s","Zamítnuto v 3D. Důvod: %s"
"Nostress_Gpwebpay::Declined in authorization center. Reason: %s","Zamítnuto v autorizačním centru. Důvod: %s"
"Nostress_Gpwebpay::Wrong digest","Chybný podpis"
"Nostress_Gpwebpay::Session expired","Expirovaná session"
"Nostress_Gpwebpay::Technical problem","Technický problém"

"Model/Status.php",""
"Nostress_Gpwebpay::Authorization","Autorizovat"
"Nostress_Gpwebpay::Deposit","Uhradit"

"Model/Transactions.php",""
"Nostress_Gpwebpay::State of the transaction could not have been requested. %s","Stav transakce se nepodařilo získat. %s"
"Nostress_Gpwebpay::Created new transaction","Byla vytovřena nová transakce"
"Nostress_Gpwebpay::The Transaction State '%s' must not be set manually.","Stav transakce '%s' se nesmí nastavit ručně."
"Nostress_Gpwebpay::The transaction has not been reversed. The state has not been changed. %s","Transakce nebyla reverzována. Stav nebyl změněn. %s"
"Nostress_Gpwebpay::The state has been changed, but the transaction has not been reversed.","Stav byl změněn, ale transakce nebyla reverzována."
"Nostress_Gpwebpay::The transaction has not been reversed, but the state has changed.","Transakce nebyla reverzována, ale stav byl změněn."
"Nostress_Gpwebpay::The transaction has not been reversed. The state has not been changed.","Transakce nebyla reverzována. Stav nebyl změněn."
"Nostress_Gpwebpay::The transaction has been successfully reversed.","Transakce byla úspěšně reverzována."
"Nostress_Gpwebpay::The transaction has not been deposited. The state has not been changed. %s","Transakce nebyla uhrazena. Stav nebyl změněn. %s"
"Nostress_Gpwebpay::The state has been changed, but the transaction has not been deposited.","Stav byl změně, ale transakce nebyla uhrazena."
"Nostress_Gpwebpay::The transaction has not been deposited, but the state has changed.","Transakce nebyla uhrazena, ale stav byl změněn."
"Nostress_Gpwebpay::The transaction has not been deposited. The state has not been changed.","Transakce nebyla uhrazena. Stav nebyl změněn."
"Nostress_Gpwebpay::Invoice for deposit of amount %s was created","Faktura pro úhradu částky %s byla vytvořena"
"Nostress_Gpwebpay::The Invoice was not updated. Please, check and update the Invoice manually.","Faktura nebyla aktualizována. Prosím, zkontrolujte a aktualizujte fakturu ručně."
"Nostress_Gpwebpay::The Invoice #%s was updated.","Faktura č.%s byla aktualizována."
"Nostress_Gpwebpay::The transaction has been successfully deposited.","Transakce byla úspěšně uhrazena."
"TODO: Complete the translation",""
"Nostress_Gpwebpay::State of the transaction (#%s) has not been updated. No new state found.","Stav transakce (č.%s) nebyl aktualizován. Nebyl nalezen žádný nový stav."
"Nostress_Gpwebpay::State updated after batch close","Stav aktualizován po uzavření dávky"
"Nostress_Gpwebpay::State updated automatically","Stav aktualizován automaticky"
"Nostress_Gpwebpay::State of the transaction (#%s) has been successfully updated.","Stav transakce (č.%s) byl úspěšně aktualizován."
"Nostress_Gpwebpay::Transactions have not been batch closed. %s","Dávka transakcí nebyla uzavřena. %s"
"Nostress_Gpwebpay::Transaction have been successfully batch closed.","Dávka transakcí byla úspěšně uzavřena."

"Model/Resource/Transactions/Status.php",""
"Nostress_Gpwebpay::Last status can not be unassigned from state.","Poslední stav nemůže být odpojen od statusu"

"controllers/IndexController.php",""
"Nostress_Gpwebpay::Wrong order id.","Špatné id objednávky."
"Nostress_Gpwebpay::This order was already processed.","Tato objednávka již byla zpracována."
"Nostress_Gpwebpay::The order was not approved by GPWebPay.","Tato objednávka nebyla systémem GPWebPay povolena."
"Nostress_Gpwebpay::The order was not approved by GPWebPay. Order state: %s (%s)","Tato objednávka nebyla systémem GPWebPay povolena. Stav objednávky: %s (%s)"
"Nostress_Gpwebpay::This order was already processed by the GPWebPay payment system.","Tato objednáka již byla platebním systémem GPWebPay zpracována."
"Nostress_Gpwebpay::Error occured in GPWebPay payment. %s","Nastala chyba při platbě s GPWebPay. %s"
"Nostress_Gpwebpay::Error occured in GPWebPay payment. %s (PRCODE: %s, SRCODE: %s)","Nastala chyba při platně s GPWebPay. %s (PRCODE: %s, SRCODE: %s)"

"controllers/TransactionsController.php",""
"Nostress_Gpwebpay::This transaction no longer exists.","Tato transakce již neexistuje"
"Nostress_Gpwebpay::The transaction has not been reversed. Technical error occured, please, try again.","Transakce nebyla reverzována. Nastala technická chyba, zkuste to prosím znova."
"Nostress_Gpwebpay::The transaction has not been deposited. Technical error occured, please, try again.","Transakce nebyla uhrazena. Nastala technická chyba, zkuste to prosím znova."
"Nostress_Gpwebpay::Deposit of the transaction has not been reversed. Technical error occured, please, try again.","Úhrada transakce nebyla reverzována. Nastala technická chyba, zkuste to prosím znova."
"Nostress_Gpwebpay::The transaction has not been credited. Technical error occured, please, try again.","Transakce nebyla kreditována. Nastala technická chyba, zkuste to prosím znova."
"Nostress_Gpwebpay::Credit for this transaction has not been reversed. Technical error occured, please, try again.","Kredit transakce nebyl reverzován. Nastala technická chyba, zkuste to prosím znova."
"Nostress_Gpwebpay::The transaction has not been closed. Technical error occured, please, try again.","Transakce nebyla uzavřena. Nastala technická chyba, zkuste to prosím znova."
"Nostress_Gpwebpay::The transaction has not been deleted. Technical error occured, please, try again.","Transakce nebyla smazána. Nastala technická chyba, zkuste to prosím znova."
