"Costs for inland shipping","Náklady pro tuzemské dodání"
"Costs for shipping to foreign countries","Náklady pro dodání do zahraničí"
"Custom text for checkout page","Volitelný text pro stránku platby"
"Cash on Delivery","Dobírka"
"Cash on Delivery fee","Poplatek za dobírku"
"You will be charged an extra fee of %s.","Za platbu dobírkou je příplatek %s."
"Incl. Tax","S DPH"
"Cash on Delivery fee (Excl.Tax)","Poplatek za dobírku (bez DPH)"
"Cash on Delivery fee (Incl.Tax)","Poplatek za dobírku (s DPH)"
"Cash on Delivery fee %s","Poplatek za dobírku %s"
"Refund Cash on Delivery fee","Vrácení poplatku za dobírku"
