"Image max width","Maximální šířka obrázku"
"Image max height","Maximální výška obrázku"
"Product detail","Detail produktu"
"Flags","Visačky"
"Show images","Zobrazit obrázky"
"Enabled","Aktivní"
"Flag","Visačka"
"Link order","Pořadí odkazu"
"Manage Flags","Správa visaček"
"Add Flag","Přidat visačku"
"Yes","Ano"
"No","Ne"
"Change top status","Změnit oblíbenost"
"Is top","Oblíbené"
"Flag was successfully saved.","Visačka uložena."
"Please select Flag(s).","Vyberte visačky."
"Total of %d record(s) were successfully deleted.","Smazáno záznamů: %d."
"To completely delete a flag go into manage attributes section and remove the attribute value from '%s'.","K úplnému odstranění visačky přejděte do správy atributů a odstraňte hodnotu z atributu '%s'."
"Total of %d record(s) were successfully updated.","Upraveno visaček: %d."
"Edit Flag '%s'","Upravit visačku '%s'"
"Add Flag","Přidat visačku"
"Manufacturer","Výrobce"
"Flag Image","Obrázek visačky"
"Is Top","Oblíbené"
"Flag Information","Informace o visačce"
"Content for","Obsah pro"
"Top Flags","Oblíbené visačky"
"Manufacturer attribute code","Kód atributu visačky"
"Licence key is not valid.","Licenční klíč není platný."
