"1.5.0.0 & later","1.5.0.0 a vyššie"
"Action","Akcia"
"Add Author","Pridať autora"
"Add Contents Path","Pridať cestu k obsahu"
"Add PHP Extension dependency","Pridať PHP závislosť rozšírenia"
"Add Package dependency","Pridať závislosť balíčku"
"Add files","Pridať súbory"
"Authors","Autori"
"Channel","Kanál"
"Contents","Obsah"
"Create Extension Package","Vytvoriť rozšírenie"
"Dependencies","Závislosti"
"Description","Popis"
"Edit Extension","Upraviť príponu"
"Email","Email"
"Extension","Rozšírenie"
"Extensions","Rozšírenia"
"Failed to create the package.","Chyba pri vytvorení balíčka"
"Failed to load the package data.","Chyba pri načítaní údajov balíčka."
"Failed to save the package.","Chyba pri ukladaní balíčka."
"Files","Súbory"
"Folder","Adresár"
"Ignore","Ignorovať"
"Include","Obsahuje"
"License","Licencia"
"License URI","URL licencie"
"Load Local Package","Načítať lokálny balíček"
"Load local Package","Načítať lokálny balíček"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","Meno"
"New Extension","Nové rozšírenie"
"PHP Version","PHP verzia"
"Package","Balík"
"Package Extensions","Rozšírenie balíčka"
"Package File Name","Názov balíku"
"Package Info","Informácie o balíku"
"Packages","Balíky"
"Path","Cesta"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Informácie o verzii"
"Remove","Odstrániť"
"Save As...","Uložiť ako..."
"Save Data and Create Package","Uložiť údaje a vytvoriť balík"
"Save package with custom package file name","Uložiť balík s vlastným menom"
"Summary","Zhrnutie"
"Supported releases","Porovnávané verzie"
"System","Systém"
"Target","Cieľ"
"The package %s data has been loaded.","Údaje balíka %s boli načítané."
"The package data has been saved.","Údaje balíka boli uložené."
"There was a problem saving package data","Nastal problém pri ukladaní údajov balíka"
"Type","Typ"
"User","Užívateľ"
