"* Required Fields","* Povinne vyplnené polia"
"Comment","Poznámka"
"Contact Form","Kontakný formulár"
"Contact Information","Kontaktné informácie"
"Contact Us","Kontaktujte nás"
"Contact Us Form","Kontaktny formulár"
"Contacts","Kontakty"
"Contacts Section","Kontakty"
"Email","E-mail"
"Email Options","Vlastnosti e-mailu"
"Email Sender","Odosielateľ e-mailu"
"Email Template","Šablóna e-mailu"
"Enable Contact Us","Povoliť Kontaktuj nás"
"Name","Meno"
"Send Emails To","Poslať e-maily pre"
"Submit","Odoslať"
"Telephone","Telefón"
"Unable to submit your request. Please, try again later","Vašu žiadosť nie je možné odoslať. Prosím, skúste neskôr."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Váš dotaz bol odoslaný a bude vybavený akonáhle to bude možné. Ďakujeme za Váš záujem."
