"%s","%s"
"%s already exist.","%s už existuje."
"%s already exists.","%s už existujú."
"-- Please Select --","-- Prosím vyberte --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Pozor!</strong> Keď používate CDN, v niektorých prípadoch nemusí JavaScript pracovať správne, Pokiaľ nie je na Vašej subdomene."
"A category object is required for determining the product request path.","Kategória objektu je nutná pre určenie cesty výrobku."
"Add Block Names to Hints","Pridať meno blokov do nápovedy"
"Add Secret Key to URLs","Pridať bezpečnostný kľúč do url adries"
"Add Store Code to Urls","Pridať kód obchodu do url"
"Admin","Administrátor"
"Admin Base URL","Predvolená url pre administráciu"
"Admin User Emails","Emaily administrátorov"
"Advanced","Pokročilé"
"Allow Countries","Povoliť krajiny"
"Allowed IPs (comma separated)","Povolené IP adresy (oddelené čiarkou)"
"#~ ""Allows customers to stay logged in when switching between different stores.""","#~ ""Povoliť zákazníkovi zostať prihlásený aj pri prepínaní medzi rôznymi ""#~ ""obchodmi."""
"#~ ""Alternative text for next link in pagination menu. If empty, default arrow ""#~ ""image will used.""","#~ ""Alternatívny text pre nasledujúci odkaz v stránkovacom menu. Ak necháte ""#~ ""prázdne, použije sa predvolený obrázok šípky."""
"#~ ""Alternative text for previous link in pagination menu. If empty, default ""#~ ""arrow image will used.""","#~ ""Alternatívny text pre predchádzajúci odkaz v stránkovacom menu. Ak necháte ""#~ ""prázdne, použije sa predvolený obrázok šípky."""
"An error occurred while saving. Please review the error log.","Chyba pri ukladaní. Skontrolujte error log."
"Anchor Text for Next","Text pre odkaz na nasledujúcu stranu"
"Anchor Text for Previous","Text pre odkaz na predchádzajúcu stránku"
"Are you sure?","Ste si istý?"
"Back","Späť"
"Backup Options","Možnosti zálohovania"
"Base JavaScript URL","Východzia URL pre JavaScript"
"Base Link URL","Východzia URL pre odkazy"
"Base Media URL","Východzia URL pre médiá"
"Base Skin URL","Východzia URL pre vzhľad"
"Base URL","Východzia URL"
"#~ ""Before modifying the store view code please make sure that it is not used in ""#~ ""index.php.""","#~ ""Pred zmenou kódu zobrazenia obchodu sa prosím uistite, že nie je použitý v ""#~ ""index.php"""
