"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Plánovanie úloh) - všetky časy sú v minútach"
"Daily","Denne"
"Failure History Lifetime","Dĺžka histórie zlyhania"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Pre správne generované URL počas behu cronu sa prosím uistite, že Web > Zabezpečenie a Nezabezpečené majú vyplnené východiskovú URL."
"Generate Schedules Every","Generovať všetky udalosti"
"History Cleanup Every","Vymazať históriu"
"Invalid callback: %s::%s does not exist","Chybné spätné volanie: %s::%s neexistuje"
"Invalid model/method definition, expecting ""model/class::method"".","Chybná definícia model/metóda, očakáva sa ""model/trieda::metóda""."
"Missed if Not Run Within","Chýba ak nie je spustené v rámci"
"Monthly","Mesačne"
"No callbacks found","Spätné volanie nenájdené"
"Schedule Ahead for","Naplánovať dopredu"
"Success History Lifetime","Dĺžka histórie úspešnosti"
"Too late for the schedule.","Príliš neskoro na udalosť."
"Unable to save the cron expression.","Nie je možné uložiť výraz Cron-u."
"Unknown error.","Neznámá chyba."
"Weekly","Týždenne"
