"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' vypadá ako DNS meno, ale nie je možné získať TLD časť"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' vypadá ako DNS meno, ale nie je možné overiť TLD v známom zozname"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' vypadá ako DNS meno, ale nie je možné overiť oproti menu v zozname TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' vypadá ako DNS meno, ale obsahuje pomlčku na neplatnej pozícii"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' vypadá ako DNS meno, ale daný zápis punycode nejde preložiť"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' vypadá ako meno v lokálnej sieti, ale lokálne sieťové mená nie sú povolené"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' vypadá ako IP adresa, ale IP adresy nie sú povolené"
"'%value%' does not appear to be a valid local network name","'%value%' nevypadá na platné sieťové meno"
"* Required Fields","* Povinne vyplnené polia"
"A new password has been sent.","Nové heslo bolo odoslané."
"ALL GROUPS","VŠETKY SKUPINY"
"Account Dashboard","Nástenka účtu"
"Account Information","Informácie o účte"
"Account Sharing Options","Možnosti zdielania účtu"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Je vyžadované potvrdenie účtu. Zkontrolujte prosím svoju emailovu schránku, či Vám prišiel overujúci email a kliknite v ňom na potvrdzujúcí odkaz. Pre znovuzaslanie potvrdzujúceho emailu <a href=""%s"">kliknite tu</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Je vyžadované potvrdenie účtu. Zkontrolujte prosím svoju emailovu schránku, či Vám prišiel overujúci email a kliknite v ňom na potvrdzujúcí odkaz. Pre znovuzaslanie potvrdzujúceho emailu <a href=""%s"">kliknite tu</a>."
"Action","Operácia"
"Add New Address","Pridať novú adresu"
"Add New Customer","Pridať nového zákazníka"
"Add New Customer Group","Pridať novú zákaznícku skupina"
"Added From","Pridané z"
"Additional Address Entries","Dodatočné záznamy adresy"
"Address","Adresa"
"Address Book","Zoznam adries"
"Address Books","Zoznam adries"
"Address Information","Informácia o adrese"
"Address Templates","Šablóna adresy"
"Addresses","Adresy"
"Admin","Administrácia"
"All","Všetko"
"All Store Views","Všetky zobrazenia obchodu"
"All countries","Všetky krajiny"
"Always optional.","Vždy volitelné."
"Amount","Čiastka"
"An error occurred while deleting the address.","Pri mazaní adresy došlo k chybe."
"An error occurred while retrieving the option value: %s.","Chyba počas príjmu hodnoty volby: %s."
"An error occurred while saving the collection, aborting. Error: %s","Problém pri ukladaní kolekcie, prerušujem. Chyba: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Bolo špecifikované neplatné id volby pre %s (%s), záznam vynechaný."
"Approved","Schválený"
"Are you sure that you want to remove this item?","Naozaj chcete odstrániť túto položku?"
"Are you sure you want to cancel adding of this address?","Naozaj chcete zrušiť pridanie tejto adresy?"
"Are you sure you want to delete this address?","Naozaj chcete vymazať túto adresu?"
"Are you sure?","Ste si istý?"
"Array of Entity collections is expected.","Očakáva sa zoskupenie množiny údajov"
"Assign a Customer Group","Priradiť zákaznícku skupinu"
"Average Sale","Priemerná tržba"
"Back","Späť"
"Back - link to the previously viewed page","Zpět - odkaz na predchádzajúcu zobrazenú stránku"
"Back to Login","Späť na prihlásenie"
"Bad request.","Chybná požiadavka."
"Bill to Name","Účet na meno"
"Bought From","Nakúpené v"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Vytvorením osobného účtu v našom obchode získate možnosť prechádzať platobným procesom omnoho rýchlejšie, spravovať dodacie adresy, prezerať a sledovať svoje objednávky a iné."
"CSV","CSV"
"Cancel","Zrušiť"
"Cannot save address.","Nie je možné uložiť adresu."
"Cannot save the customer.","Nie je možné uložiť zákazníka."
