"Active","Aktívne"
"Add Attribute Mapping","Pridať atribút mapovania"
"Add New Attribute","Pridať nový atribút"
"Add to Google Base","Pridat do Google Base"
"Are you sure?","Ste si istí?"
"Attribute","Atribút"
"Attribute Set","Množina atribútov"
"Attribute Set and Item Type","Množina atribútov a typov položiek"
"Attributes","Atribúty"
"Attributes Mapping","Mapovanie atribútov"
"Attributes Set","Množina atribútov"
"AuthSub","AuthSub"
"Available Products","Dostupné produkty"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.",""
"Captcha confirmation error: %s","Chyba overovacieho obrázku: %s"
"Captcha has been confirmed.","Captcha úspešne potvrdená."
"Catalog","Katalóg"
"Clicks","Kliknutie"
"ClientLogin","Prihlásenie"
"Confirm","Potvrdenie"
"Current Mapping will be reloaded. Continue?","Aktuálne mapovanie bude znovuzavedené. Pokračovať?"
"Custom attribute, no mapping","Vlastný atribút, nemapované"
"Delete","Zmazať"
"Delete Mapping","Zmazať mapovanie"
"Edit Item Type","Upraviť typ položky"
"Edit Item Type ""%s""","Upraviť typ položky ""%s"""
"Error: %s","Chyba: %s"
"Expires","Vyprší"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base atribút"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base typ položky"
"Google Base Item type","Google Base typ položky"
"Google Base Items","Položky Google Base"
"Google base","Google base"
"Hide","Skryť"
"Hosted","Hosťované"
"Hosted or Google","Hosťované alebo Google"
"Impr.","Zobr."
"Invalid Product Model for Google Base Item","Chybný model produktu pre položku Google Base"
"Item Type was deleted","Typ položky bol zmazaný"
"Item Types","Typy položiek"
"Item model is not specified to delete Google Base entry.","Model položky nie je špecifikovaný na odstránenie Google Base položky."
"Items","Položky"
"Manage Attribute Mapping","Spravovať mapovanie atribútov"
"Manage Attributes","Spravovať atribúty"
"Manage Items","Spravovať položky"
"New Item Type","Nový typ položky"
"New ItemType","Nový typ položky"
"No","Nie"
"No items were deleted from Google Base","Neboli zmazané žiadne položky z Google Base"
"No items were published","Žiadne položky neboli zverejnené"
"No items were saved as inactive items","Žiadne položky neboli uložené ako neaktívne položky"
"No products were added to Google Base","Žiadne produkty neboli pridané do Google Base"
"Object model is not specified to save Google Base entry.","Nie je definovaný objektový model pre ukladanie v Google Base."
"Please, select Attribute Set and Google Item Type to load attributes","Prosím vyberte množinu vlastností a typ položky na načítanie atribútov"
"Product Name","Názov produktu"
"Publish","Zverejniť"
"Published","Zverejnené"
"Remove","Odstrániť"
"Save Mapping","Uložiť mapovanie"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Session vypršala počas exportu. Prosím skontrolujte exportované produkty a zopakujte export ak to bude potrebné."
"Synchronize","Synchronizovať"
"Target Country","Cieľová krajina"
"The item type has been saved.","Typ položky bol úspešne uložený."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Táto akcia aktualizuje štatistiku a odstráni položky ktoré nie sú dostupné v Google Base. Pokračovať?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Celkom zmazané položiek: %d, celkom aktualizované položiek: %d."
"Total of %d items(s) have been published.","Celkom publikované položiek: %d."
"Total of %d items(s) have been removed from Google Base.","Celkom odobraté položiek z Google Base: %d."
"Total of %d items(s) have been saved as inactive items.","Celkom uložené položiek ako neaktívne: %d."
"Total of %d product(s) have been added to Google Base.","Celkom uložené položiek do Google Base: %d."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Nedá sa spojiť s Google Base. Prosím skontrolujte nastavenie účtu v nastaveniach."
"Unable to select a Store View.","Nie je možné vybrať zobrazenie obchodu."
"View Available Products","Zobraziť dostupné produkty"
"View Item in Google Base","Zobraziť položky v Google Base"
"Yes","Áno"
"Account Login","Prihlásenie"
"Account Password","Heslo"
"Account Type","Typ účtu"
"British Pound Sterling","Britská libra šterling"
"Cannot update Google Base Item for Store '%s'","Nemožno aktualizovať Google Base položky pre obchod '%s'"
"Euro","Euro"
"Germany","Nemecko"
"Page views","Zobrazenie stránok"
"US Dollar","Americký dolár"
"United Kingdom","Veľká Británia"
"United States","Spojené štáty americké"
"Update Google Base Item when Product is Updated","Aktualizovať položky v Google Base ak je produkt aktualizovaný"
