"-- Please Select --","-- Prosím vyberte --"
"Account Registration","Registrácia účtu"
"All fields of script types have to be filled.","Všetky polia skriptu musí byť vyplnené."
"Attributes","Atribúty"
"Category View Optimization","Kategória zobraziť optimalizáciu"
"Control Script","Kontrolný skript"
"Conversion Page","Konverzná stránka"
"Conversion Page URL","URL stránky konverzie"
"Conversion Script","Konverzný skript"
"Enable","Povoliť"
"Google Optimizer Scripts","Google optimalizátor skriptov"
"Google Website Optimizer","Google optimalizátor webstránok"
"Install Scripts","Inštalačný skript"
"Multi Address Checkout","Platenie na viac adries"
"One Page Checkout","Jednostránková platba"
"Order Success (Multi Address Checkout)","Objednávka dokončená (Platba na viac adries)"
"Order Success (One Page Checkout)","Objednávka dokončená (Jednostránková platba)"
"Original Page","Pôvodná stránka"
"Other","Ostatné"
"Page Type","Typ stránky"
"Page View Optimization","Zobraziť optimalizáciu stránky"
"Please copy and paste this value to experiment edit form","Prosím skopírujte a vložte túto hodnotu do experimentálneho poľa vo formulári."
"Please copy and paste this value to experiment edit form.","Prosím skopírujte a vložte túto hodnotu do experimentálneho poľa vo formulári."
"Please select store view to see the URL","Prosím vyberte zobrazenie obchodu pre zobrazenie URL."
"Please select store view to see the URL.","Prosím vyberte zobrazenie obchodu pre zobrazenie URL."
"Product View Optimization","Zobraziť optimalizáciu produktu"
"Scripts Install URL","Inštalačná URL skriptu"
"Shopping Cart","Nákupný košík"
"The limit is 8 attributes only.","Limit je iba 8 atribútov."
"Tracking Script","Sledovací skript"
"Use Default","Použiť predvolené"
"Use Default Values","Použiť predvolenú hodnotu"
"Variant Page","Variant stránky"
