"%s Index process is working now. Please try run this process later.","%s Teraz sa vykonáva spracovanie indexu. Prosím skúste spustiť tento proces neskôr."
"%s index was rebuilt.","index %s bol úspešne pregenerovaný."
"'%s' Index Process Information","Informácie o spracovaní indexu '%s'"
"Action","Akcia"
"Cannot initialize the indexer process.","Nemožno inicializovať Indexer procesu."
"Change Index Mode","Zmena možnosti indexovania"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Stlačte pre prechod do <a href=""%s"">Správy cache</a> a obnovte cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Stlačte pre prechod do <a href=""%s"">Správy indexov</a> a obnovte požadované indexy."
"Description","Popis"
"Disable","Zakázať"
"Enable","Povoliť"
"General","Hlavný"
"Index","Index"
"Index Description","Popis indexu"
"Index Management","Nastavenie indexu"
"Index Mode","Režim indexu"
"Index Name","Meno indexu"
"Index mode","Režim indexu"
"Indexer code is not defined.","Kód indexeru nie je definovaný."
"Indexer model is not defined.","Model indexeru nie je definovaný."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer model by mal zahŕňať Mage_Index_Model_Indexer_Abstract."
"Last Run","Naposledy spustené"
"Manual Update","Manuálna aktualizácia"
"Mode","Režim"
"Never","Nikdy"
"One or more of the Indexes are not up to date:","Jeden alebo viac indexov nie sú aktuálne:"
"Pending Events","Čakajúce udalosti"
"Please select Index(es)","Prosím vyberte index(y)"
"Please select Indexes","Prosím vyberte indexy"
"Process Information","Informácie o spracovaní"
"Processing","Spracovávam"
"Ready","Pripravený"
"Refresh","Obnoviť"
"Reindex Data","Preindexovať dáta"
"Reindex Required","Je vyžadované preindexovanie"
"Status","Stav"
"System","Systém"
"The index has been saved.","Index bol úspešne uložený."
"There was a problem with reindexing process.","Nastal problém pri preindexovaní."
"There was a problem with saving process.","Nastal problém pri ukladaní."
"Total of %d index(es) have changed index mode.","Celkom indexov %d zmenili režim indexu."
"Total of %d index(es) have reindexed data.","Celkom úspešne aktualizovaných indexov: %d."
"Update on Save","Aktualizovať po uložení"
