"(Make sure you keep it in a safe place.)","(Uistite sa, že ho udržujete na bezpečnom mieste.)"
"(Optional. Leave blank for no prefix)","(Voliteľné. Ponechajte prázdne ak si predponu neželáte mať)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Ďalšia cesta pridávaná za východziu URL pre prístup do administratívneho panelu (napr. admin, backend, control atď)."
"Admin Path","Admin cesta"
"After successfull installation please click the button below.","Po úspešnej inštalácii, prosím kliknite na tlačidlo nižšie."
"All packages were installed, click 'OK' to continue with installation.","Všetky balíky boli nainštalované úspešne. Kliknite na 'Ok' pre pokračovanie inštalácie."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternatívne by ste mohli vyskúšať metódu 'Manuálne prevzatie a aktualizácie'."
"Base URL","Predvolená URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Pred tým ako budete pokračovať, poznačte si svoj šifrovací kľúč (Magento ho používa na šifrovanie hesiel, kreditných kariet atď.)."
"Check out our","Pozrite sa na naše"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Zaškrtnite tento box iba ak nie je možné automaticky overiť zabezpečenie adresy."
"Check this box only if it is not possible to automatically validate the Base URL.","Zaškrtnite tento box iba ak nie je možné automaticky overiť zabezpečenie adresy. Napríklad HTTP autentifikácia je vyžadovaná."
"Choose this if you would like to test frontend and backend functionality.","Vyberte túto možnosť ak chcete testovať zákaznícke a administrátorské funkcie."
"Configuration","Konfigurácia"
"Confirm Password","Potvrdiť heslo"
"Connection","Pripojenie"
"Continue","Pokračovať"
"Continue After Manual Download","Pokračovať po manuálnom prevzatí"
"Continue Full Download / SVN Installation","Pokračovať v plnom prevzatí / SVN Inštalácia"
"Create Admin Account","Vytvoriť administrátorský účet"
"Currently this is the most stable state available for Magento packages.","V súčasnosti je toto najstabilnejšia verzia Magento distribúcie."
"Database","Databáza"
"Database Connection","Pripojenie k databáze"
"Database Name","Meno databázy"
"Database Name cannot be empty.","Názov databázy nemôže byť prázdny."
"Database Type","Typ databázy"
"Database connection error.","Chyba pripojenia k databáze."
"Database host","Databáza – host"
"Database user name","Užívateľské meno do databázy"
"Database user password","Heslo do databázy"
"Default Currency","Predvolená mena"
"Download","Prevziať"
"Download Magento Core Modules and Updates","Prevziať jadro a aktualizácie systému Magento"
"Downloading and installing Magento, please wait...","Prebieha prevzatie a inštalácia systému Magento, čakajte prosím..."
"Email","E-mail"
"Email Address","E-mailová adresa"
"Enable Charts","Enable Charts"
"Enable this option if you want the charts to be displayed on Dashboard.",""
"Enable this option only if you have SSL available.","Povoľte túto vlastnosť iba ak je SSL dostupné."
"Encryption Key","Šifrovací kľúč"
"File System","Súborový systém"
"First Name","Meno"
"Full Download / SVN Installation","Kompletné prevzatie / SVN Inštalácia"
"Get ready to experience Open-Source eCommerce Evolved.","Pripravte sa na úžasný zážitok z vývoja elektronického obchodovania na báze Open-Source."
"Go to Backend","Prejdite do Administrácie"
"Go to Frontend","Prejdite do Obchodu"
"Having trouble installing Magento?","Máte problémy pri inštalácii Magenta?"
"Help Us to Keep Magento Healthy","Pomôžte nám udržať Magento bez chýb"
"Host","Hostiteľ"
"I agree to the above terms and conditions.","Súhlasím s vyššie uvedenými podmienkami zmluvy."
"If you are a developer and would like to have the latest public updates, choose this option.","Ak ste vývojár a želáte si obdržať najnovšie verejne dotupné aktualizácie systému, zvoľte túto možnosť."
