"Add Recipient","Pridať prijímateľa"
"Allow for Guests","Povoliť hosťom"
"An invalid email address for recipient was entered.","Zadali ste nesprávnu emailovú adresu príjemcu."
"At least one recipient must be specified.","Musíte zadať aspoň jedného príjemcu."
"Back","Späť"
"Catalog Product Email to a Friend","Poslať e-mailom známemu"
"Email Address","E-mailová adresa"
"Email Address:","E-mailová adresa:"
"Email Templates","Šablóny emailu"
"Email to a Friend","Poslať e-mailom známemu"
"Email:","E-mail:"
"Enabled","Povolené"
"Invalid Sender Information","Neplatné informácie o odosielateľovi"
"Invalid sender email.","Neplatný email odosielateľa."
"Limit Sending By","Obmedzené odosielanie na"
"Max Products Sent in 1 Hour","Max. počet produktov odoslaných za hodinu"
"Max Recipients","Max. počet prijímateľov"
"Maximum %d email addresses allowed.","Povolený počet e-mailových adries je %d."
"Message:","Správa:"
"Name","Meno"
"Name:","Meno:"
"No more than %d emails can be sent at a time.","Nemôžete odoslať naraz viac ako %d emailov."
"Please define a correct Cookie instance.","Prosím definujte správnu inštanciu Cookie."
"Please define a correct Product instance.","Prosím definujte správnu inštanciu produktu."
"Please define the correct Sender information.","Prosím definujte správne informácie o odosielateľovi."
"Recipient:","Prijímateľ:"
"Remove Email","Odstrániť e-mail"
"Select Email Template","Vyberte šablónu e-mailu"
"Send Email","Poslať e-mail"
"Send product to a friend","Poslať produkt známemu"
"Sender:","Odosielateľ:"
"Some emails were not sent.","Niektoré e-maily neboli odoslané"
"The link to a friend was sent.","Vášmu známemu bol odoslaný odkaz."
"The message cannot be empty.","Správa nesmie byť prázdna."
"The messages cannot be sent more than %d times in an hour","Nemôžete odoslať viac ako %d za hodinu"
"The sender name cannot be empty.","Meno odosielateľa nesmie byť prázdne."
"There were some problems with the data.","Boli tam nejaké problémy s dátami."
"You have exceeded limit of %d sends in an hour","Prekročili ste limit %d pre posielanie za hodinu"
