"All Websites","Všetky webstránky"
"Apply Discounts To FPT","Použiť percentuálne zľavy na FPT"
"Apply Tax To FPT","Použiť daň na FPT"
"Display Prices In Emails","Zobrazovať ceny v emailoch"
"Display Prices In Product Lists","Zobrazovať ceny v zozname produktov"
"Display Prices In Sales Modules","Zobrazovať ceny v predajných moduloch"
"Display Prices On Product View Page","Zobraziť ceny na stránkach Zobrazenie produktov"
"Enable FPT","Povoliť FPT"
"Excluding FPT","Bez FPT"
"Excluding FPT, FPT description, final price","Bez FPT, FPT popis, konečná cena"
"Fixed Product Tax","Príplatky"
"Fixed Product Taxes","Pevné dane produktov"
"Include FPT In Subtotal","S FPT v medzisúčte"
"Including FPT and FPT description","Obsahuje FPT a FPT popis"
"Including FPT and FPT description [incl. FPT VAT]","Obsahuje FPT a FPT popis [s FPT daňou]"
"Including FPT only","Iba s FPT"
"Total","Celkom"
"Total Incl. Tax","Celkom s daňou"
"Total incl. tax","Celkom s daňou"
