" But cart has some errors.",""
"""Description"" is more than %d characters long",""
"""Title"" is more than %d characters long",""
"%1$s has been added to your wishlist.",""
"%1$s incl tax.",""
"%s API Key required.",""
"%s Application ID required.",""
"%s Secret Key required.",""
"%s has been added to your cart.",""
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)",""
"*Subject to change",""
"10:40 AM",""
"80px x 80px",""
"80x80 px",""
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.",""
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.",""
"A new password has been sent.",""
"Account",""
"Account confirmation is required. Please check your email for the confirmation link.",""
"Account information has been saved.",""
"Action",""
"Activate",""
"Activate PayPal Checkout",""
"Activation Key",""
"Add App",""
"Add New Template",""
"Add Page",""
"Add to Cart",""
"Add to Wishlist",""
"Additional Address",""
"Additional Product Info",""
"Address",""
"Address 2",""
"Address data not specified.",""
"Address does not belong to this customer.",""
"Address has been deleted.",""
"Address has been saved.",""
"Administrative contact for this app and for app submission issues.",""
"Advanced Settings",""
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.",""
"AirMail Message Queue",""
"AirMail Messages Queue",""
"AirMail Template Preview",""
"AirMail message",""
"AirMail templates",""
"All Allowed Countries",""
"All locations",""
"An account with this email address already exists.",""
"An error occurred while adding item to wishlist.",""
"An error occurred while deleting the address.",""
"An error occurred while loading category filters.",""
"An error occurred while processing your order. Please contact us or try again later.",""
"An error occurred while processing your request.",""
"An error occurred while removing item from wishlist.",""
"An error occurred while removing items from wishlist.",""
"Analytics",""
"Android",""
"App Background",""
"App Background (landscape mode).",""
"App Background (portrait mode).",""
"App Background <br />(landscape mode)",""
"App Background <br />(portrait mode)",""
"App Background image missing.",""
"App Code",""
"App Information",""
"App Name",""
"App Stores",""
"App Submission History",""
"App Title",""
"App code required.",""
"App does not exist.",""
"App has been deleted.",""
"App has been saved.",""
"App has been submitted.",""
"App model not loaded.",""
"App with specified code does not exist.",""
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)",""
"Application",""
"Application Key",""
"Application Master Secret",""
"Application Name",""
"Application Secret",""
"Are you sure you want to delete this theme? This change will affect all applications.",""
"Are you sure you whant to cancel a message?",""
"Are you sure you whant to delete a message?",""
"Are you sure you what to cancel selected records?",""
"Are you sure you what to delete selected records?",""
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.",""
"Authentication complete.",""
"Back",""
"Back to App Edit",""
"Background Color",""
"Banner on Home Screen",""
"Banner on Home Screen (landscape mode) image missing.",""
"Banner on Home Screen (portrait mode) image missing.",""
"Banner on Home Screen <br />(landscape mode)",""
"Banner on Home Screen <br />(portrait mode)",""
"Banner on Home Screen image missing.",""
"Billing address has been set.",""
"Buy %1$s for %2$s",""
"Buy %1$s for %2$s (%3$s incl. tax) each",""
"Buy %1$s for %2$s each",""
"Buyer country is not allowed by store.",""
"Cache Lifetime (seconds)",""
"Cache Management",""
"Can't add item to shopping cart.",""
"Can't apply the coupon code.",""
"Can't copy file ""%s"" to ""%s"".",""
"Can't create wishlist.",""
"Can't delete ""%s"" theme.",""
"Can't load XML.",""
"Can't load application with code ""%s""",""
"Can't load default themes.",""
"Can't open submission form.",""
"Can't read file ""%s"".",""
"Can't remove the item.",""
"Can't reset theme.",""
"Can't save address.",""
"Can't save the customer.",""
"Can't save theme.",""
"Can't show configuration.",""
"Can't specify product.",""
"Can't submit application.",""
"Can't update cart.",""
"Can't write to file ""%s"".",""
"Cancel",""
"Canceled",""
"Cancelled",""
"Cannot load theme ""%s"".",""
"Cannot save theme ""%s"". Incorrect data received",""
"Card Verification Number",""
"Card verification number is wrong",""
"Carrier",""
"Cart",""
"Cart has been updated.",""
"Cart has some errors.",""
"Cart is empty.",""
"Catalog Only App?",""
"Category Button Color",""
"Category Item Background Color",""
"Chairs",""
"Change Orientation",""
"Change Password",""
"Changes have been saved to theme.",""
"Checkout has been initialized.",""
"City",""
"Color Themes",""
"Colors",""
"Company",""
"Completed",""
"Confirm New Password",""
"Confirm Password",""
"Contact Email",""
"Contact Information",""
"Content",""
"Copyright",""
"Copyright Page Logo",""
"Copyright Page Logo <br />(iPhone 4 retina)",""
"Countries Payment Applicable From",""
"Country",""
"Country options don't recognized for ""%s"".",""
"Coupon code %s is not valid.",""
"Coupon code %s was applied.",""
"Coupon code is empty.",""
"Coupon code was canceled.",""
"Creating a Template is allowed only for applications which have device type iPhone.",""
"Credit Card",""
"Credit Card %s",""
"Credit Card Number",""
"Credit Card Type",""
"Credit card number does not match credit card type.",""
"Current Password",""
"Currently, PayPal MEP is not available for the Android application",""
"Custom App Icon",""
"Custom App Icon <br />(iPhone 4 retina)",""
"Custom Colors",""
"Customer authentication problem.",""
"Customer email not specified.",""
"Customer logout problem.",""
"Customer not logged in.",""
"Date Created",""
"Date Submitted",""
"Date Updated",""
"Deeper Messaging and Engagement with Rich Push.",""
"Default Billing Address",""
"Default Shipping Address",""
"Default Theme",""
"Delete",""
"Delete theme",""
"Deleted",""
"Description",""
"Description that appears in Android Market. %s chars maximum. ",""
"Description that appears in the iTunes App Store. %s chars maximum. ",""
"Deselect All",""
"Design",""
"Device",""
"Device Information",""
"Device Type",""
"Device doesn't recognized. Unable to load a template.",""
"Device doesn't recognized: ""%s"". Unable to load a helper.",""
